ticker,price_date,close_price,currency,price_source
AAPL,2023-09-14,173.3948,USD,YAHOO
AAPL,2023-09-15,172.6745,USD,YAHOO
AAPL,2023-09-18,175.5951,USD,YAHOO
AAPL,2023-09-19,176.6804,USD,YAHOO
AAPL,2023-09-20,173.1482,USD,YAHOO
AAPL,2023-09-21,171.6089,USD,YAHOO
AAPL,2023-09-22,172.4575,USD,YAHOO
AAPL,2023-09-25,173.7303,USD,YAHOO
AAPL,2023-09-26,169.6653,USD,YAHOO
AAPL,2023-09-27,168.1557,USD,YAHOO
AAPL,2023-09-28,168.4122,USD,YAHOO
AAPL,2023-09-29,168.9253,USD,YAHOO
AAPL,2023-10-02,171.4314,USD,YAHOO
AAPL,2023-10-03,170.0994,USD,YAHOO
AAPL,2023-10-04,171.3426,USD,YAHOO
AAPL,2023-10-05,172.5759,USD,YAHOO
AAPL,2023-10-06,175.1215,USD,YAHOO
AAPL,2023-10-09,176.6015,USD,YAHOO
AAPL,2023-10-10,176.0095,USD,YAHOO
AAPL,2023-10-11,177.4006,USD,YAHOO
AAPL,2023-10-12,178.2985,USD,YAHOO
AAPL,2023-10-13,176.4633,USD,YAHOO
AAPL,2023-10-16,176.3351,USD,YAHOO
AAPL,2023-10-17,174.786,USD,YAHOO
AAPL,2023-10-18,173.4935,USD,YAHOO
AAPL,2023-10-19,173.1185,USD,YAHOO
AAPL,2023-10-20,170.573,USD,YAHOO
AAPL,2023-10-23,170.6914,USD,YAHOO
AAPL,2023-10-24,171.1255,USD,YAHOO
AAPL,2023-10-25,168.8167,USD,YAHOO
AAPL,2023-10-26,164.6629,USD,YAHOO
AAPL,2023-10-27,165.9752,USD,YAHOO
AAPL,2023-10-30,168.0175,USD,YAHOO
AAPL,2023-10-31,168.4911,USD,YAHOO
AAPL,2023-11-01,171.6484,USD,YAHOO
AAPL,2023-11-02,175.2004,USD,YAHOO
AAPL,2023-11-03,174.2927,USD,YAHOO
AAPL,2023-11-06,176.8382,USD,YAHOO
AAPL,2023-11-07,179.3937,USD,YAHOO
AAPL,2023-11-08,180.4494,USD,YAHOO
AAPL,2023-11-09,179.9758,USD,YAHOO
AAPL,2023-11-10,184.1548,USD,YAHOO
AAPL,2023-11-13,182.5741,USD,YAHOO
AAPL,2023-11-14,185.1823,USD,YAHOO
AAPL,2023-11-15,185.7455,USD,YAHOO
AAPL,2023-11-16,187.425,USD,YAHOO
AAPL,2023-11-17,187.4052,USD,YAHOO
AAPL,2023-11-20,189.144,USD,YAHOO
